MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Población a 1 de julio,POB_1_JULIO,Cantabria,ES13,2001,2001,534.6,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Cantabria,ES13,2001,2001,4.2824141908,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Cantabria,ES13,2001,2001,16123.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Cantabria,ES13,2001,2001,8618734.0,,,
Población a 1 de julio,POB_1_JULIO,Principado de Asturias,ES12,2001,2001,1063.7,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Principado de Asturias,ES12,2001,2001,3.7639862351,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Principado de Asturias,ES12,2001,2001,14487.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Principado de Asturias,ES12,2001,2001,15409649.0,,,
Población a 1 de julio,POB_1_JULIO,Galicia,ES11,2001,2001,2696.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Galicia,ES11,2001,2001,3.5080676478,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Galicia,ES11,2001,2001,13373.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Galicia,ES11,2001,2001,36054603.0,,,
Población a 1 de julio,POB_1_JULIO,España,ES,2001,2001,40766.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,España,ES,2001,2001,3.9330031134,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,España,ES,2001,2001,17196.0,,,
Importe a precios de mercado,GDP_PRODUCTION,España,ES,2001,2001,700993000.0,,,
Población a 1 de julio,POB_1_JULIO,Resto de España,ES_O,2002,2002,,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Resto de España,ES_O,2002,2002,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Resto de España,ES_O,2002,2002,,,,
Importe a precios de mercado,GDP_PRODUCTION,Resto de España,ES_O,2002,2002,577746.0,,,
Población a 1 de julio,POB_1_JULIO,Canarias,ES70,2002,2002,1730.7,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Canarias,ES70,2002,2002,2.1450593455,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Canarias,ES70,2002,2002,17491.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Canarias,ES70,2002,2002,30271685.0,,,
Población a 1 de julio,POB_1_JULIO,Ciudad Autónoma de Melilla,ES64,2002,2002,65.5,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Ciudad Autónoma de Melilla,ES64,2002,2002,-3.4931254661,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Ciudad Autónoma de Melilla,ES64,2002,2002,15172.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Ciudad Autónoma de Melilla,ES64,2002,2002,993232.0,,,
Población a 1 de julio,POB_1_JULIO,Ciudad Autónoma de Ceuta,ES63,2002,2002,70.8,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Ciudad Autónoma de Ceuta,ES63,2002,2002,-2.563819732,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Ciudad Autónoma de Ceuta,ES63,2002,2002,15636.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Ciudad Autónoma de Ceuta,ES63,2002,2002,1107804.0,,,
Población a 1 de julio,POB_1_JULIO,Región de Murcia,ES62,2002,2002,1224.4,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Región de Murcia,ES62,2002,2002,3.8256900504,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Región de Murcia,ES62,2002,2002,15223.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Región de Murcia,ES62,2002,2002,18638319.0,,,
Población a 1 de julio,POB_1_JULIO,Andalucía,ES61,2002,2002,7437.2,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Andalucía,ES61,2002,2002,3.4676782386,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Andalucía,ES61,2002,2002,13574.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Andalucía,ES61,2002,2002,100949639.0,,,
Población a 1 de julio,POB_1_JULIO,Illes Balears / Islas Baleares,ES53,2002,2002,866.1,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Illes Balears / Islas Baleares,ES53,2002,2002,0.5525794324,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Illes Balears / Islas Baleares,ES53,2002,2002,21793.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Illes Balears / Islas Baleares,ES53,2002,2002,18874734.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad Valenciana,ES52,2002,2002,4254.3,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad Valenciana,ES52,2002,2002,2.9564749329,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad Valenciana,ES52,2002,2002,17229.0,,,
